상가업소번호,가게명,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
MA010120220803061103,컴포즈커피 신촌연세대점,77,76,1,98.7,1.3
MA010120220805371852,매머드익스프레스 이대점,76,75,1,98.7,1.3
MA010120220811968247,브릭스5221맥주 신촌점,75,74,1,98.7,1.3
MA010120220812303375,유소바,75,73,2,97.3,2.7
3305,또보겠지떡볶이집 신촌히어로점,75,75,0,100.0,0.0
MA010120220803188921,소바연구소,74,73,1,98.6,1.4
MA010120220800570371,티앙팡 오후의 홍차,74,74,0,100.0,0.0
MA010120220807064192,롯데리아 이대점,74,71,3,95.9,4.1
MA010120220807773009,피슈마라홍탕 신촌점,73,73,0,100.0,0.0
MA010120220800581023,삭 수제튀김 전문점,73,71,2,97.3,2.7
MA010120220811657813,인타코타코야끼&캔카페,73,70,3,95.9,4.1
MA010120220800625120,부탄츄 신촌점,73,72,1,98.6,1.4
MA010120220808826529,돈까스대왕전 이대점,70,67,3,95.7,4.3
MA010120220808035101,버거리 신촌점,69,66,3,95.7,4.3
MA010120220806624362,본우리반상 신촌세브란스점,69,62,7,89.9,10.1
MA010120220813986760,포티드,67,64,3,95.5,4.5
MA010120220806987328,싸다김밥 신촌점,66,64,2,97.0,3.0
MA010120220802691073,엠브로돈까스 신촌본점,65,63,2,96.9,3.1
MA010120220802691019,타코벨 신촌점,64,62,2,96.9,3.1
MA010120220814190705,방콕익스프레스 신촌본점,64,60,4,93.8,6.2
MA010120220805346423,란주탕슉,63,62,1,98.4,1.6
MA010120220813099356,스카이문 루프탑,62,62,0,100.0,0.0
MA010120220800594374,대성이네,61,61,0,100.0,0.0
MA010120220812400468,돈천동식당,61,61,0,100.0,0.0
MA010120220806681307,연희김밥 신촌점,60,60,0,100.0,0.0
MA010120220812692974,본죽 세브란스병원점,60,58,2,96.7,3.3
MA010120220812628509,이디야커피 연세대점,60,59,1,98.3,1.7
MA010120220800589488,구씨네부엌,60,60,0,100.0,0.0
MA010120220811824024,롤링파스타 신촌점,58,56,2,96.6,3.4
MA010120220813916613,김삼보김치찌개 신촌점,58,55,3,94.8,5.2
MA010120220805056183,더블랙나인,57,56,1,98.2,1.8
MA010120220812501200,샐러디 이화여대점,57,56,1,98.2,1.8
MA010120220809871590,맘맘테이블,56,56,0,100.0,0.0
MA010120220800556453,맛있는순두부&김치찜,56,49,7,87.5,12.5
MA010120220800583195,던킨 연대동문회관점,56,55,1,98.2,1.8
MA010120220812939901,역전할머니맥주 신촌점,56,52,4,92.9,7.1
MA010120220800599837,복성각,55,55,0,100.0,0.0
3300,김광석신촌칼국수 본점,55,52,3,94.5,5.5
MA010120220812024024,비아37,54,53,1,98.1,1.9
MA010120220812988264,헤이진,54,54,0,100.0,0.0
MA010120220803930832,머노까머나 신촌점,53,53,0,100.0,0.0
MA010120220805648394,라구식당,53,51,2,96.2,3.8
MA010120220810113017,연세로갈매기,53,53,0,100.0,0.0
MA010120220805836229,오늘통닭 신촌직영점,53,53,0,100.0,0.0
MA010120220812705871,양꽃 오마카세 신촌점,52,52,0,100.0,0.0
MA010120220814278735,전티마이베트남쌀국수 이화여대점,51,50,1,98.0,2.0
MA010120220811982063,고스트요거트 이대점,51,51,0,100.0,0.0
MA010120220804171594,waffle it up,50,49,1,98.0,2.0
MA010120220808037913,주막보리밥,50,49,1,98.0,2.0
MA010120220808135929,마녀주방 신촌점,49,48,1,98.0,2.0
MA010120220806523856,할리스 이대점,49,48,1,98.0,2.0
MA010120220801524284,씨유그릭,48,47,1,97.9,2.1
MA010120220808431265,춘천집닭갈비본사직영철판구이,48,44,4,91.7,8.3
MA010120220809818533,현명식탁,47,46,1,97.9,2.1
MA010120220800567138,춘천집 닭갈비막국수,47,46,1,97.9,2.1
MA010120220807014750,독수리다방,47,47,0,100.0,0.0
MA0101202301A0088636,천진분식,47,46,1,97.9,2.1
MA010120220800665082,난향,46,44,2,95.7,4.3
MA010120220811776529,섬채,46,46,0,100.0,0.0
MA010120220813385141,클로리스 신촌본점,46,44,2,95.7,4.3
MA010120220811724523,공차 이대익스프레스점,46,45,1,97.8,2.2
MA010120220800926252,아콘스톨,45,44,1,97.8,2.2
MA0101202302A0026660,모센즈스위트 이대점,45,42,3,93.3,6.7
MA010120220806484912,백순대본가새맛 신촌연대점,44,44,0,100.0,0.0
MA010120220801785130,명륜진사갈비 서울신촌점,44,40,4,90.9,9.1
MA010120220805955825,두끼 이대점,44,42,2,95.5,4.5
MA010120220801217659,미스터서왕만두,44,43,1,97.7,2.3
MA010120220807029718,에어플레인모드,43,43,0,100.0,0.0
MA010120220813310135,뚜레쥬르 이화여대ECC점,42,42,0,100.0,0.0
MA010120220800757075,이디야커피 이화여대점,42,40,2,95.2,4.8
MA010120220811498089,유야케도쿄,42,40,2,95.2,4.8
MA010120220802898807,교토우마이,42,41,1,97.6,2.4
MA0101202210A0068154,옥희네 떡볶이,41,41,0,100.0,0.0
MA010120220804934065,3F CAFE,41,40,1,97.6,2.4
MA0101202210A0025333,단데농,40,39,1,97.5,2.5
MA010120220804843709,공차 이대역점,40,36,4,90.0,10.0
MA010120220800609768,다미손칼국수,40,40,0,100.0,0.0
MA010120220800589054,홍콩반점0410 신촌2호점,40,36,4,90.0,10.0
MA010120220800557729,카페나무,40,36,4,90.0,10.0
MA010120220800624817,닥터로빈 이대점,39,39,0,100.0,0.0
3322,렌게,39,39,0,100.0,0.0
MA010120220802926374,카우떡볶이,39,39,0,100.0,0.0
3320,공릉닭한마리,39,38,1,97.4,2.6
3333,산울림1992,38,37,1,97.4,2.6
3330,철길왕갈비살,38,37,1,97.4,2.6
MA010120220800624887,던킨 연세안과병원점,38,36,2,94.7,5.3
MA010120220800558973,구이마을,38,36,2,94.7,5.3
MA010120220800590196,탐앤탐스 신촌로터리점,38,37,1,97.4,2.6
MA010120220812201759,금별맥주 신촌점,38,32,6,84.2,15.8
MA010120220808574231,쥬씨 이대점,37,36,1,97.3,2.7
MA010120220814256550,로봇김밥 세브란스점,37,34,3,91.9,8.1
MA010120220810149522,강남불백 신촌점,37,35,2,94.6,5.4
MA010120220800577547,라 본느 타르트,36,36,0,100.0,0.0
MA010120220805124075,더진국 수육국밥 신촌점,36,36,0,100.0,0.0
MA010120220802502144,배스킨라빈스 이대역,36,35,1,97.2,2.8
MA0101202211A0091750,오늘닭강정 동교동삼거리점,36,36,0,100.0,0.0
MA010120220804132287,샐러디 연세대점,36,34,2,94.4,5.6
MA010120220813145114,인쌩맥주 신촌점,35,34,1,97.1,2.9
MA010120220800639432,아저씨네낙지찜,35,35,0,100.0,0.0
MA010120220800595698,여우골초밥 신촌점,35,35,0,100.0,0.0
MA010120220809655412,미도인 신촌,34,33,1,97.1,2.9
MA0101202210A0040111,김밥천국 신촌점,34,32,2,94.1,5.9
MA010120220812885599,싸움의고수 신촌점,34,33,1,97.1,2.9
MA010120220812974480,호탕마라탕,34,33,1,97.1,2.9
MA010120220803272381,화명당마라탕,33,32,1,97.0,3.0
MA0101202209A0092906,포히엔베트남쌀국수,33,31,2,93.9,6.1
3321,형제식당,33,33,0,100.0,0.0
MA010120220800589616,고냉지,33,32,1,97.0,3.0
MA0101202211A0084746,대파곱창,33,31,2,93.9,6.1
MA010120220807021864,구구족 이대점,33,33,0,100.0,0.0
MA010120220800596371,고삼이 신촌점,33,33,0,100.0,0.0
MA010120220806454999,텐동미세기,32,32,0,100.0,0.0
MA010120220800602766,돈불1971,32,32,0,100.0,0.0
MA010120220810265682,홀리몰리,32,32,0,100.0,0.0
MA010120220800603138,카페문,32,32,0,100.0,0.0
MA010120220800213478,리히트,32,32,0,100.0,0.0
MA010120220804969002,신룽푸마라탕 이대점,32,31,1,96.9,3.1
MA010120220814078162,호복,31,27,4,87.1,12.9
MA010120220804401647,김광석신촌칼국수 이대직영점,31,28,3,90.3,9.7
MA010120220813197415,베어스덴 브런치,31,29,2,93.5,6.5
MA010120220814051509,교촌치킨 신촌점,31,29,2,93.5,6.5
MA010120220800595998,설레임삼겹살,31,31,0,100.0,0.0
MA010120220804156412,신촌부추곱창 신촌본점,31,28,3,90.3,9.7
MA010120220808118352,파스쿠찌 연세우리라운지점,30,30,0,100.0,0.0
MA0101202212A0005803,룸의정석 신촌점,30,29,1,96.7,3.3
MA010120220800575797,본죽 이대점,30,29,1,96.7,3.3
MA010120220802283256,화로상회 신촌점,29,28,1,96.6,3.4
MA010120220800209304,도토리칼국수,29,28,1,96.6,3.4
3334,홍두깨칼국수,29,26,3,89.7,10.3
MA010120220814109143,두블레,29,28,1,96.6,3.4
MA010120220802965641,엔타로커피,28,28,0,100.0,0.0
MA010120220807717289,매거진 스탠딩,28,27,1,96.4,3.6
MA010120220802934541,7번가피자 신촌마포점,28,28,0,100.0,0.0
MA010120220812069328,이국장,28,28,0,100.0,0.0
MA010120220812809316,베러댄와플 이화여대점,28,28,0,100.0,0.0
MA010120220800580738,아마,28,28,0,100.0,0.0
MA010120220805334818,식탁 하늬솔점,28,28,0,100.0,0.0
MA010120220808910640,파리바게뜨 연대이화점,28,25,3,89.3,10.7
MA010120220813058504,대치영지,28,27,1,96.4,3.6
MA010120220812984210,볼타,27,27,0,100.0,0.0
MA010120220800608820,이화당제과,27,27,0,100.0,0.0
MA010120220808203278,비아 메렝게,27,25,2,92.6,7.4
MA010120220800600419,가화만사성,27,24,3,88.9,11.1
MA010120220812191505,건륭산시도삭면 신촌본점,27,25,2,92.6,7.4
MA010120220800577859,딸기골,27,25,2,92.6,7.4
3327,뜸들이다 신촌점,27,25,2,92.6,7.4
MA0101202212A0097323,누들김밥 이대점,27,27,0,100.0,0.0
3310,댓커피,27,27,0,100.0,0.0
MA010120220800891258,BHC치킨 이대역점,27,24,3,88.9,11.1
MA010120220800846433,한림돈가 본점,26,24,2,92.3,7.7
MA010120220805163239,카페페라유니크,26,26,0,100.0,0.0
MA010120220806788244,아웃닭 신촌역점,26,26,0,100.0,0.0
MA010120220800582385,새마을식당 신촌점,26,26,0,100.0,0.0
MA010120220807883106,하노이의아침,26,26,0,100.0,0.0
MA010120220812685758,부엉이돈가스 신촌점,26,25,1,96.2,3.8
3340,혼신꼬치,26,26,0,100.0,0.0
MA010120220810306836,풍국면 현대백화점 신촌점,26,25,1,96.2,3.8
MA010120220810234211,시오램,26,26,0,100.0,0.0
3323,쭈꾸미블루스 신촌본점,26,24,2,92.3,7.7
MA010120220810543131,유자유김치떡볶이 신촌점,26,26,0,100.0,0.0
MA010120220809586156,백미당 현대백화점신촌점,25,25,0,100.0,0.0
MA010120220806996315,원즈오운,25,25,0,100.0,0.0
MA010120220800203000,타코몽,25,25,0,100.0,0.0
3331,루나틱커피,25,25,0,100.0,0.0
MA010120220806412035,이로운밥상,25,25,0,100.0,0.0
MA010120220800558073,웅네서서갈비,25,24,1,96.0,4.0
MA010120220804946668,코다차야 신촌점,25,22,3,88.0,12.0
3319,가츠벤또,24,24,0,100.0,0.0
MA010120220806520559,청년다방 신촌점,24,22,2,91.7,8.3
MA010120220806481772,101번지남산돈까스 현대백화점 신촌점,24,23,1,95.8,4.2
3325,Chai797 Plus 현대신촌점,24,22,2,91.7,8.3
MA010120220803097672,파파노다이닝,24,24,0,100.0,0.0
MA010120220812618294,라티노커피 이대점,24,24,0,100.0,0.0
MA010120220811670518,본죽&비빔밥cafe 신촌점,24,21,3,87.5,12.5
MA010120220806854709,해누리,24,24,0,100.0,0.0
3324,더브레드블루 신촌본점,23,20,3,87.0,13.0
MA010120220812333801,타코로코,23,21,2,91.3,8.7
MA010120220810803751,파스쿠찌 연세세브란스2호점,23,23,0,100.0,0.0
MA010120220813190034,고피자 신촌1호점,23,22,1,95.7,4.3
MA010120220812839157,이대깻잎떡볶이,23,22,1,95.7,4.3
MA010120220800634270,술익는마을,23,21,2,91.3,8.7
MA010120220802054670,커피도가 헤리티지 신촌이대점,23,23,0,100.0,0.0
MA010120220800567582,다다,23,23,0,100.0,0.0
MA010120220805535476,홍콩식당 태흥빙실,22,21,1,95.5,4.5
MA010120220811718807,행복은간장밥 신촌명물거리점,22,22,0,100.0,0.0
MA010120220806360533,소담식당,22,22,0,100.0,0.0
MA010120220805468753,모미지식당,22,21,1,95.5,4.5
MA010120220806893464,헐리우드,22,22,0,100.0,0.0
MA010120220805300315,유,22,22,0,100.0,0.0
MA010120220813541669,챔스빈커피 신촌점,22,21,1,95.5,4.5
MA010120220806819195,제스의부엌 옐로서브마린점,21,21,0,100.0,0.0
MA010120220812118767,삼진식당,21,21,0,100.0,0.0
MA010120220800563961,불밥 이대본점,21,21,0,100.0,0.0
MA010120220800595350,라임,21,21,0,100.0,0.0
MA010120220800639774,원조감자탕,21,20,1,95.2,4.8
MA010120220813940605,지파시 연세암병원점,21,21,0,100.0,0.0
MA010120220800596158,전골떡볶이 덕미가 이대본점,21,21,0,100.0,0.0
MA010120220800579997,너스레,21,20,1,95.2,4.8
MA010120220808140236,신촌간이회집,21,18,3,85.7,14.3
MA010120220800584941,연대포,21,20,1,95.2,4.8
MA010120220814083848,쥬씨 신촌점,21,21,0,100.0,0.0
MA010120220811992941,과일에반하다 프루타 신촌점,21,20,1,95.2,4.8
MA010120220800555987,미네르바,21,20,1,95.2,4.8
MA010120220812341635,신촌칼,21,21,0,100.0,0.0
MA010120220808461213,신룽푸마라탕 신촌점,20,18,2,90.0,10.0
MA010120220813975496,플릭온커피,20,20,0,100.0,0.0
MA010120220802929122,오리지날 이대본점,20,17,3,85.0,15.0
MA010120220813403524,청년순대국 이화여대점,20,20,0,100.0,0.0
MA010120220814339484,오븐에오분,20,20,0,100.0,0.0
MA010120220812455800,로컬식당,20,20,0,100.0,0.0
MA010120220808587209,라멘81번옥 신촌점,20,20,0,100.0,0.0
MA010120220813493798,옥루몽 신촌본점,20,19,1,95.0,5.0
MA010120220811980013,진저브라운,20,20,0,100.0,0.0
MA010120220800639849,소우 오뎅,19,18,1,94.7,5.3
MA010120220800611265,김가네김밥 이대점,19,19,0,100.0,0.0
MA010120220811947726,프라이빗 신촌점,19,16,3,84.2,15.8
MA0101202212A0075582,금고기비스트로 신촌,19,19,0,100.0,0.0
MA010120220807069572,보스포차,19,19,0,100.0,0.0
MA010120220802958210,이름없는파스타 이화여대점,19,18,1,94.7,5.3
3304,히노키공방,19,19,0,100.0,0.0
MA010120220801438904,미사일부대찌개,19,17,2,89.5,10.5
MA0101202210A0091227,108장 마라탕,19,18,1,94.7,5.3
MA010120220800590005,존재의 이유,19,19,0,100.0,0.0
MA010120220800594945,이삭토스트 이화여대점,19,19,0,100.0,0.0
MA010120220800603323,몰리스,19,17,2,89.5,10.5
MA010120220800996612,포메인 신촌점,19,17,2,89.5,10.5
MA010120220804951963,리또리또,19,19,0,100.0,0.0
MA010120220812781050,틈새라면 신촌점,19,19,0,100.0,0.0
MA010120220800578917,무사시,19,17,2,89.5,10.5
3337,빅타이니,18,17,1,94.4,5.6
MA010120220812334008,효동각 본점,18,17,1,94.4,5.6
MA010120220812530321,안테이쿠,18,17,1,94.4,5.6
MA010120220809367531,투다리 이대점,18,15,3,83.3,16.7
MA010120220800956204,클럽이스케이프,18,18,0,100.0,0.0
3317,신촌귀일만두,18,18,0,100.0,0.0
MA0101202301A0002457,스튜디오웝,18,18,0,100.0,0.0
3315,오시리야,18,18,0,100.0,0.0
MA010120220804258451,대현매운족발 본점,18,17,1,94.4,5.6
MA010120220800568461,무교동낙지 신촌점,18,15,3,83.3,16.7
MA010120220810403979,타이스토리,18,18,0,100.0,0.0
MA010120220809231151,미도 매운향솥,18,16,2,88.9,11.1
MA010120220800602181,청년밥상문간 이화여자대학교점,17,17,0,100.0,0.0
MA010120220814298339,피자클럽,17,16,1,94.1,5.9
MA010120220803058643,자마버거 이대점,17,16,1,94.1,5.9
MA010120220807144703,까이식당,17,17,0,100.0,0.0
MA010120220804841693,신촌관,17,17,0,100.0,0.0
MA010120220807415778,개미집 신촌점,17,14,3,82.4,17.6
MA010120220813285183,가빈카페,17,17,0,100.0,0.0
MA010120220814282031,연어상회 신촌점,17,16,1,94.1,5.9
MA010120220803220643,카츠미,17,16,1,94.1,5.9
MA010120220813917577,이빠네마 그릴,17,16,1,94.1,5.9
MA010120220800639902,카페파파,16,16,0,100.0,0.0
MA010120220804429836,지지고 이대점,16,16,0,100.0,0.0
MA010120220810248759,삼미식당 신촌점,16,15,1,93.8,6.2
MA010120220809807752,팜스힐,16,16,0,100.0,0.0
MA010120220800380246,보울룸 신촌점,16,12,4,75.0,25.0
MA010120220804132369,탐복 현대백화점신촌점,16,15,1,93.8,6.2
MA010120220800600809,솔리드웍스 아이스크림,16,16,0,100.0,0.0
MA010120220803160054,낭만식탁,16,16,0,100.0,0.0
MA010120220804769252,피자스쿨 이대점,16,16,0,100.0,0.0
MA010120220807754377,라장훠궈,16,16,0,100.0,0.0
MA010120220800087173,라이프커피컴퍼니,16,15,1,93.8,6.2
MA010120220800147141,피자보이시나 신촌점,16,16,0,100.0,0.0
MA010120220808189158,에이투지 카페,16,16,0,100.0,0.0
MA010120220810490728,카페마지오,16,16,0,100.0,0.0
MA010120220800569215,디델리 이대점,16,16,0,100.0,0.0
MA010120220800583517,한울타리,16,16,0,100.0,0.0
MA010120220805052425,군자대한곱창 신촌점,16,16,0,100.0,0.0
MA010120220804599689,막걸리싸롱,16,16,0,100.0,0.0
MA010120220804680735,제임스시카고피자 신촌점,16,16,0,100.0,0.0
MA010120220800802178,우드문,15,15,0,100.0,0.0
MA010120220813682123,꼼보포차 신촌2호점,15,14,1,93.3,6.7
MA010120220803733841,화가와요리사,15,15,0,100.0,0.0
MA010120220800874715,백암순대국,15,15,0,100.0,0.0
MA010120220809993703,배떡 신촌점,15,15,0,100.0,0.0
MA010120220805382257,소오밥집,15,15,0,100.0,0.0
MA010120220800578523,완차이,15,15,0,100.0,0.0
MA010120220800086424,이디야 신촌기차역점,15,15,0,100.0,0.0
MA010120220806923282,봉추찜닭 신촌점,15,11,4,73.3,26.7
MA010120220800558047,신촌고기창고,15,14,1,93.3,6.7
3338,에일크루,15,15,0,100.0,0.0
MA010120220805031161,청춘대로,15,14,1,93.3,6.7
MA010120220808127702,야채를담다,15,15,0,100.0,0.0
MA010120220800554775,이코노스시본점,15,15,0,100.0,0.0
MA010120220811950836,크로플덕오리아가씨 신촌점,14,13,1,92.9,7.1
MA010120220803867640,아소비바,14,13,1,92.9,7.1
3339,와우끝집,14,14,0,100.0,0.0
3326,거북이의주방,14,14,0,100.0,0.0
MA010120220809643608,장미맨숀 신촌점,14,14,0,100.0,0.0
MA010120220814312436,신참떡볶이 이대점,14,14,0,100.0,0.0
MA010120220800633576,지오짱조개구이,14,14,0,100.0,0.0
MA010120220800625129,팔색콩불,14,14,0,100.0,0.0
MA010120220814082452,제주도로담,14,14,0,100.0,0.0
MA010120220803102114,이나닭강정 신촌점,14,14,0,100.0,0.0
MA010120220800574715,코바코 신촌점,14,13,1,92.9,7.1
MA010120220808211788,만추 현대백화점신촌점,14,12,2,85.7,14.3
MA010120220806853760,오늘와인한잔 신촌역점,14,13,1,92.9,7.1
MA010120220800554691,참참참,14,14,0,100.0,0.0
MA010120220800809701,돌아온의정부부대찌개,14,11,3,78.6,21.4
MA010120220800640896,삼호복집,13,13,0,100.0,0.0
MA010120220805012558,유원섬커피,13,13,0,100.0,0.0
MA010120220804319254,오늘와인한잔 연대가든점,13,12,1,92.3,7.7
MA010120220813038140,초코블로썸,13,13,0,100.0,0.0
MA010120220809580916,소도적,13,13,0,100.0,0.0
MA010120220814377754,에그 앤드 스푼레이스,13,13,0,100.0,0.0
MA010120220800586382,마이시크릿메이트,13,13,0,100.0,0.0
MA010120220800589196,신촌돈부리모노,13,13,0,100.0,0.0
3303,동해횟집,13,12,1,92.3,7.7
MA010120220802418610,한신포차 신촌점,13,12,1,92.3,7.7
MA010120220803409968,신신포차,13,13,0,100.0,0.0
MA010120220800586638,아비꼬 이대점,13,12,1,92.3,7.7
MA010120220803290634,더도이축산직영점 신촌점,13,13,0,100.0,0.0
MA010120220813855757,한강로칼국수 현대백화점 신촌점,13,13,0,100.0,0.0
MA010120220800594625,자연담은화로 신촌점,13,13,0,100.0,0.0
MA010120220805161893,폼프리츠 신촌점,13,13,0,100.0,0.0
MA010120220812875850,고래고래신촌점,13,12,1,92.3,7.7
MA010120220806525269,아비꼬 신촌점,12,12,0,100.0,0.0
MA010120220813878091,대구삼겹살,12,12,0,100.0,0.0
MA010120220800576001,맨도롱 식당,12,12,0,100.0,0.0
MA010120220811706692,굿바이슈가베어 포케&샐러드,12,12,0,100.0,0.0
MA010120220806555882,조선의 육개장 칼국수,12,11,1,91.7,8.3
MA010120220800558542,봉구비어 신촌명물거리2호점,12,12,0,100.0,0.0
MA010120220800432855,유채우 요리사랑,12,12,0,100.0,0.0
MA010120220804573449,신촌해물칼국수,12,12,0,100.0,0.0
MA010120220806708070,반이학생마라탕마라반,12,12,0,100.0,0.0
MA010120220806727161,카페 문베어,12,12,0,100.0,0.0
MA010120220812834262,원앤온리커피,12,11,1,91.7,8.3
MA010120220806832204,클로버,12,12,0,100.0,0.0
3313,죠티레스토랑,12,12,0,100.0,0.0
MA010120220812399073,홍미닭발 신촌점,12,11,1,91.7,8.3
MA010120220800575509,불타는곱창 신촌점,12,11,1,91.7,8.3
MA010120220803520345,잠바주스 연세대학교점,11,11,0,100.0,0.0
MA010120220800639524,우리이동갈비,11,11,0,100.0,0.0
MA010120220800565533,청담동포장마차,11,11,0,100.0,0.0
MA010120220800584405,구복,11,11,0,100.0,0.0
MA010120220800580145,벨라프라하,11,11,0,100.0,0.0
MA010120220810165660,육회본가 신촌점,11,11,0,100.0,0.0
MA010120220807595483,신의주찹쌀순대 신촌점,11,9,2,81.8,18.2
MA010120220812107785,투다리 신촌1호점,11,10,1,90.9,9.1
MA010120220812257392,정정아식당 신촌직영점,11,10,1,90.9,9.1
MA010120220813583393,낮과밤,11,11,0,100.0,0.0
MA010120220811970915,통큰 장모님 밥상,11,11,0,100.0,0.0
MA010120220802916445,명성양꼬치 신촌본점,11,11,0,100.0,0.0
MA010120220812867564,마이도야 현대백화점신촌점,11,11,0,100.0,0.0
MA010120220800599006,포석정,11,11,0,100.0,0.0
MA010120220807134605,계백집 현대백화점 신촌점,11,8,3,72.7,27.3
MA010120220800576445,홍초불닭 신촌본점,11,10,1,90.9,9.1
MA010120220800558222,파티오,11,11,0,100.0,0.0
MA010120220800595631,예소원,11,11,0,100.0,0.0
MA010120220803458500,만냥하우스,11,11,0,100.0,0.0
MA010120220808339053,인생식당,11,11,0,100.0,0.0
MA010120220813727652,고기랑,10,9,1,90.0,10.0
MA010120220801792589,이자카야 류,10,10,0,100.0,0.0
MA010120220813564586,청년국수,10,9,1,90.0,10.0
MA010120220813844109,헤븐,10,10,0,100.0,0.0
3309,써밋컬쳐 신촌,10,9,1,90.0,10.0
MA010120220800600900,강릉아구찜,10,9,1,90.0,10.0
MA010120220800561009,통통돼지,10,10,0,100.0,0.0
MA010120220813677380,고래파스타,10,10,0,100.0,0.0
MA010120220812645330,마포돼지불백,10,10,0,100.0,0.0
MA010120220800599675,후쿠스시,10,10,0,100.0,0.0
MA010120220803808742,이삭토스트 창천점,10,10,0,100.0,0.0
MA010120220800561737,종로김밥 신촌역점,10,10,0,100.0,0.0
MA010120220809816041,스시가마시 이대점,10,10,0,100.0,0.0
MA010120220811860023,가마마루이라멘,10,10,0,100.0,0.0
MA010120220803042906,카페코지 이화여대점,10,10,0,100.0,0.0
MA010120220800111125,북카페파오,10,10,0,100.0,0.0
MA010120220808684587,본도시락 이대점,10,10,0,100.0,0.0
MA010120220805400839,노란집,10,10,0,100.0,0.0
MA010120220813719284,짚신매운갈비찜 신촌점,10,10,0,100.0,0.0
MA010120220805834391,야곱의축복 신촌점,10,10,0,100.0,0.0
MA010120220804044998,김덕후의곱창조 신촌점,10,10,0,100.0,0.0
MA010120220800082029,아워즈,10,10,0,100.0,0.0
MA010120220800595153,해신포차,9,8,1,88.9,11.1
3336,릴리우드,9,9,0,100.0,0.0
MA010120220812744120,1987피자,9,9,0,100.0,0.0
MA010120220810411425,찰리주막 신촌점,9,9,0,100.0,0.0
MA010120220800596231,다발김치찌개,9,8,1,88.9,11.1
MA010120220806550964,하노이포 본점,9,9,0,100.0,0.0
MA010120220811902552,공복식당,9,9,0,100.0,0.0
MA010120220808622606,뉴욕비앤씨 신촌본점,9,9,0,100.0,0.0
MA010120220808461367,데이지,9,9,0,100.0,0.0
MA010120220800555859,동해해물탕,9,9,0,100.0,0.0
MA010120220803993212,잉치킨 신촌점,9,9,0,100.0,0.0
MA010120220804471322,진돈부리,9,9,0,100.0,0.0
MA010120220812510374,베이직프라이드치킨 신촌직영점,9,9,0,100.0,0.0
MA0101202209A0080907,인생설렁탕 연세대SK국제학사점,9,9,0,100.0,0.0
MA010120220813164764,veganique,9,9,0,100.0,0.0
MA010120220807975175,전주파전,9,9,0,100.0,0.0
MA010120220807748970,엘라도수제아이스크림,9,9,0,100.0,0.0
MA010120220803141207,Quid,9,9,0,100.0,0.0
