상가업소번호,가게명,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
1109,어니언 안국,398,375,23,94.2,5.8
1113,도토리가든,293,280,13,95.6,4.4
1115,블루보틀 삼청 카페,259,237,22,91.5,8.5
1103,프릳츠 원서점,217,208,9,95.9,4.1
1104,오설록 티하우스 북촌점,198,194,4,98.0,2.0
1100,소금집델리 안국,192,190,2,99.0,1.0
MA010120220814042518,핑크래빗가든,160,160,0,100.0,0.0
MA0101202210A0071345,오픈원,148,144,4,97.3,2.7
MA010120220800033800,북촌김치재,125,121,4,96.8,3.2
MA010120220811823342,땡스오트 안국,124,120,4,96.8,3.2
MA010120220800065181,우드앤브릭,124,115,9,92.7,7.3
MA010120220800002167,경춘자의라면땡기는날,124,118,6,95.2,4.8
MA010120220805148419,모자이크 베이커리 북촌점,121,116,5,95.9,4.1
MA0101202212A0020676,갓잇 안국점,119,118,1,99.2,0.8
MA010120220807404834,안암,109,107,2,98.2,1.8
MA010120220810377480,진작카키,106,105,1,99.1,0.9
MA010120220811199992,청수정,104,93,11,89.4,10.6
MA010120220804670209,백미당 삼청점,101,100,1,99.0,1.0
1129,텅,99,93,6,93.9,6.1
MA010120220811926927,연남토마 북촌점,98,93,5,94.9,5.1
MA010120220813940667,도라보울,93,90,3,96.8,3.2
MA010120220800552664,먹쉬돈나 삼청동점,93,85,8,91.4,8.6
MA010120220800032118,커피브론즈,92,91,1,98.9,1.1
MA010120220805171860,미트볼라운지 X 아날로그키친 삼청점,90,90,0,100.0,0.0
MA010120220801725570,꿀밥상,88,79,9,89.8,10.2
MA010120220800034932,조선김밥,87,83,4,95.4,4.6
MA010120220808031655,로우루프,87,81,6,93.1,6.9
MA010120220810354223,도트블랭킷 안국점,87,86,1,98.9,1.1
MA010120220812085884,팔발라 삼청본점,84,76,8,90.5,9.5
MA010120220811199145,청국장밥,83,76,7,91.6,8.4
MA010120220809847761,브루다 안국,81,78,3,96.3,3.7
MA010120220803570465,일월카츠,78,76,2,97.4,2.6
MA010120220808298620,아티장 크로아상,78,77,1,98.7,1.3
1130,브릭샌드 삼청점,78,78,0,100.0,0.0
MA010120220800016575,스미스가좋아하는한옥,77,77,0,100.0,0.0
MA010120220809328625,벨라쿠키 안국,76,74,2,97.4,2.6
MA010120220800035353,RadioM 삼청점,74,69,5,93.2,6.8
MA010120220803292230,정담은보쌈 북촌점,70,70,0,100.0,0.0
MA010120220812927417,애호락,70,63,7,90.0,10.0
MA010120220800022083,순이네가게,69,67,2,97.1,2.9
1108,월영당 서울,69,67,2,97.1,2.9
MA010120220810888510,카페진선,69,64,5,92.8,7.2
MA010120220808277059,마음을담아내면,67,64,3,95.5,4.5
MA010120220803201190,스미레돈카츠 안국점,67,64,3,95.5,4.5
1114,플롭 안국,67,64,3,95.5,4.5
MA010120220808111060,어텐디 북촌,66,64,2,97.0,3.0
MA010120220806666078,회화나무,64,62,2,96.9,3.1
MA010120220810177316,퀸즈베이커리 삼청점,64,61,3,95.3,4.7
MA010120220808731523,부띠끄경성,64,64,0,100.0,0.0
MA010120220813341060,만가타,63,63,0,100.0,0.0
MA010120220810961733,슬로우파크,61,61,0,100.0,0.0
MA010120220813568889,티테라피,60,58,2,96.7,3.3
MA010120220803291859,대림국수 안국점,60,57,3,95.0,5.0
MA010120220800074991,대장장이화덕피자,56,54,2,96.4,3.6
MA010120220809881804,담미온 안국점,56,54,2,96.4,3.6
MA010120220806582351,베테카텐,56,52,4,92.9,7.1
MA010120220810071022,기와탭룸,55,53,2,96.4,3.6
MA010120220809751258,밀과보리,55,55,0,100.0,0.0
MA010120220806685535,노우즈안국,54,51,3,94.4,5.6
MA010120220804390574,르꼬숑,54,50,4,92.6,7.4
MA010120220801838345,아이사구아,54,51,3,94.4,5.6
MA010120220808041049,북촌손만두 삼청동점,54,48,6,88.9,11.1
MA010120220808443747,화양연화,54,46,8,85.2,14.8
MA010120220807041580,인사동쭈꾸미,54,54,0,100.0,0.0
MA010120220810415045,리틀버틀러,53,49,4,92.5,7.5
MA010120220800223084,자작나무이야기,53,48,5,90.6,9.4
MA010120220804340076,데시데,53,53,0,100.0,0.0
MA010120220800018937,등촌샤브칼국수 안국역점,53,47,6,88.7,11.3
1120,퀸넬브릴 삼청,51,50,1,98.0,2.0
MA010120220810014678,이채 카페,50,50,0,100.0,0.0
MA010120220812625662,리김밥 현대건설점,49,48,1,98.0,2.0
MA010120220811492883,꽃밥에피다 북촌 친환경 그로서란트,49,47,2,95.9,4.1
MA010120220800023963,커피 팩토리,49,47,2,95.9,4.1
MA010120220803335297,마산해물아구찜,48,46,2,95.8,4.2
MA010120220800019161,다락정,47,44,3,93.6,6.4
MA010120220809241081,헤비스테이크 안국역점,46,46,0,100.0,0.0
MA010120220800031284,오뉴하우스,46,46,0,100.0,0.0
MA010120220800658023,시래기담은,45,45,0,100.0,0.0
MA010120220805529268,비어셰프냐항,45,44,1,97.8,2.2
MA010120220800025520,비원손칼국수,45,40,5,88.9,11.1
MA010120220804339315,온6.5,43,39,4,90.7,9.3
MA010120220807130838,비담 CAFE&BAR,43,41,2,95.3,4.7
1105,델픽,43,41,2,95.3,4.7
MA010120220805435729,몽중헌 안국점,42,41,1,97.6,2.4
MA010120220806167899,네마커피 삼청점,41,41,0,100.0,0.0
MA010120220800030270,국수명가,41,40,1,97.6,2.4
MA010120220800040531,비엣 꽌,40,40,0,100.0,0.0
MA010120220808352010,행복한 베이커리카페,38,37,1,97.4,2.6
MA010120220800023964,황금정,38,35,3,92.1,7.9
MA010120220810042383,아비꼬 안국역점,38,31,7,81.6,18.4
MA010120220808699965,반타이,38,37,1,97.4,2.6
MA0101202211A0077915,교촌치킨 안국점,37,35,2,94.6,5.4
MA010120220801148870,쏘리 에스프레소바 창덕궁점,37,36,1,97.3,2.7
MA010120220806491125,소선재,36,33,3,91.7,8.3
MA010120220800016329,눈나무집,35,33,2,94.3,5.7
MA010120220807100155,베르트,35,34,1,97.1,2.9
MA010120220800038802,하프커피 안국,35,33,2,94.3,5.7
MA010120220809999893,모퉁이네,35,32,3,91.4,8.6
1131,피크닉,35,35,0,100.0,0.0
MA010120220804370322,삼지,35,34,1,97.1,2.9
MA010120220813606455,제이네,34,33,1,97.1,2.9
MA010120220800061245,별궁식당,34,34,0,100.0,0.0
MA010120220801049024,삼청빙수,34,32,2,94.1,5.9
MA010120220800034405,계동피자,34,33,1,97.1,2.9
MA010120220807099433,부영도가니탕,34,32,2,94.1,5.9
MA010120220806899504,온마을,34,33,1,97.1,2.9
MA010120220806737409,황칠가 안국점,34,31,3,91.2,8.8
MA010120220812047933,미술관옆 돈까스,33,31,2,93.9,6.1
MA010120220811476208,가례원,33,31,2,93.9,6.1
MA010120220808537838,달,33,30,3,90.9,9.1
MA010120220808590361,아재커피 북촌점 AZE COFFEE,33,31,2,93.9,6.1
MA010120220812957075,콜디우드 안국,32,32,0,100.0,0.0
1118,거울한옥 미러룸,32,25,7,78.1,21.9
1125,커넥트계동,32,31,1,96.9,3.1
MA010120220810193035,백년토종삼계탕,32,28,4,87.5,12.5
MA010120220800032298,커피로드102,32,30,2,93.8,6.2
MA010120220800028746,파툼,31,27,4,87.1,12.9
1124,앙시엔,31,30,1,96.8,3.2
MA010120220800038193,진국곰탕,30,29,1,96.7,3.3
MA010120220812169103,호랑이카레,29,29,0,100.0,0.0
MA010120220800038144,동백식당,28,28,0,100.0,0.0
MA010120220813547232,길운구락부 & Bar,28,27,1,96.4,3.6
MA010120220813131895,호아드 카페&갤러리,28,28,0,100.0,0.0
MA010120220804973191,이화돈까스,27,26,1,96.3,3.7
MA010120220812103966,카페포엠 북촌점,27,25,2,92.6,7.4
MA010120220807721655,소온table,26,24,2,92.3,7.7
MA010120220800034358,지유가오카핫초메 삼청점,26,26,0,100.0,0.0
MA010120220811299767,감동칩스 북촌본점,26,23,3,88.5,11.5
MA010120220800033742,다사리아,25,25,0,100.0,0.0
MA010120220810440902,바스켓12 계동,25,25,0,100.0,0.0
1110,삼방매,24,23,1,95.8,4.2
1111,부빙,24,24,0,100.0,0.0
MA010120220800032015,57th Cafe,24,22,2,91.7,8.3
MA010120220804913215,카페3청,24,23,1,95.8,4.2
MA010120220807163036,북촌호떡,24,24,0,100.0,0.0
MA010120220800692786,그린마일커피 북촌점,24,22,2,91.7,8.3
MA010120220805494648,mishmash,23,22,1,95.7,4.3
MA010120220800031301,만수의정원,23,21,2,91.3,8.7
MA010120220800036215,이밥,23,23,0,100.0,0.0
MA010120220800015898,하궁,23,23,0,100.0,0.0
MA010120220800076059,CFlamingo,23,21,2,91.3,8.7
MA010120220800073709,두레 국립현대미술관서울점,23,18,5,78.3,21.7
MA010120220808167732,까페 골목숲,22,20,2,90.9,9.1
MA010120220808175277,재동맥주,22,18,4,81.8,18.2
MA010120220802933845,언코르크드,22,21,1,95.5,4.5
MA010120220811745574,콩두부사랑,22,22,0,100.0,0.0
MA010120220812383243,푸드떼,21,20,1,95.2,4.8
MA010120220800022084,봉궁,20,20,0,100.0,0.0
MA010120220803313655,카페다겸,20,18,2,90.0,10.0
MA010120220810334897,북촌연잎밥,20,20,0,100.0,0.0
MA010120220813777954,북촌막국수,20,19,1,95.0,5.0
MA010120220800022087,북촌쭈꾸미,19,17,2,89.5,10.5
1126,고디바 삼청점,19,19,0,100.0,0.0
MA010120220805053972,카페 르꽁뜨,19,18,1,94.7,5.3
MA010120220800101998,빅스트로우 북촌점,19,19,0,100.0,0.0
MA010120220800000955,뭉치바위,19,19,0,100.0,0.0
MA010120220800069263,온더그라운드,19,19,0,100.0,0.0
MA010120220803286614,삼청동김치찌개,19,19,0,100.0,0.0
MA010120220810354862,실리그린,19,18,1,94.7,5.3
MA010120220800139602,더베이커스테이블,18,16,2,88.9,11.1
MA010120220808080068,스몰하우스카페,18,18,0,100.0,0.0
MA010120220800037739,카페이드라,18,18,0,100.0,0.0
MA010120220808224171,아키,18,18,0,100.0,0.0
MA0101202210A0083421,탈스티,18,18,0,100.0,0.0
MA010120220806740836,아재커피 삼청점,18,18,0,100.0,0.0
MA010120220813233283,국수명가 가회점,17,17,0,100.0,0.0
MA010120220808109821,프레스도넛 북촌다방점,17,16,1,94.1,5.9
MA010120220800075901,삼청동 만정,17,15,2,88.2,11.8
MA010120220800038961,삼청동우피,17,17,0,100.0,0.0
MA010120220805518407,아트마,17,17,0,100.0,0.0
MA010120220806497802,소격동60,17,17,0,100.0,0.0
MA010120220800040317,더한옥,17,17,0,100.0,0.0
MA010120220805030537,은설설렁탕,17,15,2,88.2,11.8
1112,후스테이블,17,17,0,100.0,0.0
MA010120220813297618,계동 이잌,17,16,1,94.1,5.9
MA010120220800037960,진성옛날소머리국밥집,17,17,0,100.0,0.0
MA010120220806948249,미돈,17,14,3,82.4,17.6
MA010120220812113355,이니미니마니모,16,16,0,100.0,0.0
MA010120220808335489,베커린 안국점,16,16,0,100.0,0.0
MA010120220800034352,카페레이서,16,16,0,100.0,0.0
MA010120220809977525,묘미,16,16,0,100.0,0.0
MA010120220808676069,스미스가 좋아하는 테라스,16,16,0,100.0,0.0
MA010120220800028269,화동옥,16,13,3,81.2,18.8
MA010120220810887507,계동만담,16,16,0,100.0,0.0
MA010120220800023368,편안한집,16,16,0,100.0,0.0
MA010120220803457302,카페로쏘,15,15,0,100.0,0.0
MA010120220803883316,국빈행성,15,14,1,93.3,6.7
MA010120220810300033,코피발리안국점,15,15,0,100.0,0.0
MA010120220813876201,와이엔,15,14,1,93.3,6.7
MA010120220800029012,묵호횟집,15,15,0,100.0,0.0
MA010120220811690627,카페죠꽁드,15,15,0,100.0,0.0
MA010120220800023755,치킨하우스,14,12,2,85.7,14.3
MA010120220800001519,서울풍경,14,13,1,92.9,7.1
MA010120220800013216,모미지,14,14,0,100.0,0.0
MA0101202210A0088570,공공재 커피클럽,14,14,0,100.0,0.0
MA010120220800039672,안국정,13,13,0,100.0,0.0
MA010120220814053226,와옥,13,13,0,100.0,0.0
MA010120220812144776,아붕,13,12,1,92.3,7.7
1102,고메오드,13,13,0,100.0,0.0
MA010120220800006673,아꼬떼,12,11,1,91.7,8.3
MA010120220800007897,원조부대고기,12,12,0,100.0,0.0
MA010120220808150820,정사장,12,12,0,100.0,0.0
MA010120220802586539,북촌애가삼도예카페,12,11,1,91.7,8.3
MA010120220800032715,전다,12,12,0,100.0,0.0
1106,단상,12,12,0,100.0,0.0
MA010120220805346843,달별,12,12,0,100.0,0.0
MA010120220805858556,무에,12,12,0,100.0,0.0
1107,큰기와집,12,10,2,83.3,16.7
MA010120220800036622,북촌스토리,12,12,0,100.0,0.0
MA010120220800032385,플로라,12,11,1,91.7,8.3
MA010120220800001520,삼청동 로마네꽁띠,12,12,0,100.0,0.0
MA010120220800090750,북촌집,12,11,1,91.7,8.3
MA010120220808087786,키즈나,12,10,2,83.3,16.7
MA010120220805370711,현닭매운탕,11,11,0,100.0,0.0
MA010120220808003151,크렘브,11,11,0,100.0,0.0
MA010120220800029250,브람스,11,11,0,100.0,0.0
MA010120220814159400,북촌진곰탕,11,11,0,100.0,0.0
MA010120220810660550,베이킹 도우,11,11,0,100.0,0.0
MA010120220800041207,북촌한식뷔페,11,11,0,100.0,0.0
MA010120220812392823,마칸틴,10,10,0,100.0,0.0
MA010120220803789331,고이커피,10,10,0,100.0,0.0
