호텔,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
라무진 성수카페거리점,20,17,3,85.0,15.0
산내골칼국수,20,19,1,95.0,5.0
티케,20,19,1,95.0,5.0
카페 스밍 스튜디오,20,19,1,95.0,5.0
무근본,20,18,2,90.0,10.0
성수아구찜,20,20,0,100.0,0.0
오근내7닭갈비,20,19,1,95.0,5.0
구펠,20,20,0,100.0,0.0
벤투스커피 메가박스성수점,20,19,1,95.0,5.0
dyscoffee,20,20,0,100.0,0.0
녹마이,20,20,0,100.0,0.0
도담순대국 성수본점,20,19,1,95.0,5.0
민정식당 서울숲 직영점,20,19,1,95.0,5.0
커피기업 서울숲점,20,20,0,100.0,0.0
포지티브 서울숲,20,20,0,100.0,0.0
마구로쇼쿠도,20,19,1,95.0,5.0
청춘고깃간,20,18,2,90.0,10.0
수원원조갈비,20,18,2,90.0,10.0
빽다방 성수뚝도점,20,20,0,100.0,0.0
연탄불꼼장어,19,19,0,100.0,0.0
퀸테트,19,19,0,100.0,0.0
리틀포레스트,19,19,0,100.0,0.0
해피캔디쿠키,19,19,0,100.0,0.0
남다른본가닭한마리 성수점,19,19,0,100.0,0.0
동대문엽기떡볶이 성수점,19,18,1,94.7,5.3
이로우,19,18,1,94.7,5.3
넌 꼬막 난 육회,19,19,0,100.0,0.0
이안식당,19,19,0,100.0,0.0
성수피글렛,19,19,0,100.0,0.0
소적두 성수점,19,18,1,94.7,5.3
사운드 플래닛,19,19,0,100.0,0.0
오엔엘,19,19,0,100.0,0.0
라무진 성수점,19,17,2,89.5,10.5
카페 차 성수점,19,18,1,94.7,5.3
바다화원 본점,19,19,0,100.0,0.0
매머드익스프레스 성수우림점,19,19,0,100.0,0.0
샹도르본사직영점,19,19,0,100.0,0.0
독도사랑 막회,19,18,1,94.7,5.3
진짜배기명태촌 서울성수점,19,19,0,100.0,0.0
카페베네 성수점,19,18,1,94.7,5.3
홍보석,19,19,0,100.0,0.0
조개도,19,19,0,100.0,0.0
보이어,19,19,0,100.0,0.0
퍼틴 성수점,19,17,2,89.5,10.5
민속김밥,18,18,0,100.0,0.0
파리바게뜨 성수코오롱점,18,18,0,100.0,0.0
이북집 찹쌀순대 성수점,18,17,1,94.4,5.6
노이,18,17,1,94.4,5.6
풍조미역 성수본점,18,18,0,100.0,0.0
싹쓰리곱창,18,18,0,100.0,0.0
송흥,18,18,0,100.0,0.0
착한짜장,18,17,1,94.4,5.6
퍼니주,18,17,1,94.4,5.6
nothingmatters,18,17,1,94.4,5.6
시원,18,17,1,94.4,5.6
원산면옥,18,15,3,83.3,16.7
작야,18,18,0,100.0,0.0
뚝섬숯불갈비,18,15,3,83.3,16.7
도토리편백집 이마트성수점,18,16,2,88.9,11.1
피자시즌,18,17,1,94.4,5.6
란돌프서울숲,18,17,1,94.4,5.6
앳모스피어,17,17,0,100.0,0.0
리타르단도,17,17,0,100.0,0.0
일심정,17,17,0,100.0,0.0
세광양대창 성수점,17,13,4,76.5,23.5
용이네,17,17,0,100.0,0.0
방춘리,17,17,0,100.0,0.0
엘레멘츠,17,17,0,100.0,0.0
은빛물결 황금낙지,17,17,0,100.0,0.0
매튜 Matthew,17,17,0,100.0,0.0
더즌오이스터 성수,17,17,0,100.0,0.0
플레이버타운,17,14,3,82.4,17.6
호호반점 성수낙낙점,17,15,2,88.2,11.8
광장족발 본가,17,17,0,100.0,0.0
바오 서울,17,15,2,88.2,11.8
카페 포제,17,16,1,94.1,5.9
오시요거트,17,17,0,100.0,0.0
송담추어탕 서울성수점,17,16,1,94.1,5.9
아니마토,17,17,0,100.0,0.0
성수면당,17,16,1,94.1,5.9
엉터리생고기 성수점,17,17,0,100.0,0.0
제비뽑기,17,16,1,94.1,5.9
황금어장,17,16,1,94.1,5.9
꼬꼬스토리 성수점,17,17,0,100.0,0.0
이태리차차,17,17,0,100.0,0.0
위스위츠,17,17,0,100.0,0.0
히즈빈스 성수점,17,17,0,100.0,0.0
아비꼬 성수역점,17,15,2,88.2,11.8
갈랭,17,17,0,100.0,0.0
아이오쓰리 성수사거리점,16,15,1,93.8,6.2
써니눅,16,16,0,100.0,0.0
빅쭌부대찌개 성수점,16,15,1,93.8,6.2
미락바지락칼국수,16,16,0,100.0,0.0
곳온니플레이스 성수낙낙,16,16,0,100.0,0.0
탐앤탐스 성수1호점,16,15,1,93.8,6.2
프랑스포차,16,16,0,100.0,0.0
성수일미락,16,14,2,87.5,12.5
현방오백소갈비살 성수점,16,15,1,93.8,6.2
짬뽕품격,16,15,1,93.8,6.2
김밥천국 서울숲점,16,16,0,100.0,0.0
페스티발,16,16,0,100.0,0.0
브루잉 세레모니,16,14,2,87.5,12.5
하노이102,16,16,0,100.0,0.0
삽다리곱창,16,16,0,100.0,0.0
역전할머니맥주 성수점,16,16,0,100.0,0.0
명가닭한마리,16,15,1,93.8,6.2
강호연파 성수 숲속산장점,16,14,2,87.5,12.5
리옹베이커리,16,16,0,100.0,0.0
도치피자 성수,16,16,0,100.0,0.0
마루제면소,16,15,1,93.8,6.2
매머드익스프레스 뚝섬역점,16,14,2,87.5,12.5
이랑칼국수,16,16,0,100.0,0.0
밀본 본점,15,14,1,93.3,6.7
담소소사골순대육개장 서울숲점,15,15,0,100.0,0.0
르살롱오,15,15,0,100.0,0.0
도쎄멕시칸,15,15,0,100.0,0.0
술래감자탕&순대국,15,15,0,100.0,0.0
퍼응언쌀국수,15,13,2,86.7,13.3
명국수,15,15,0,100.0,0.0
이삭토스트 성수2가점,15,15,0,100.0,0.0
문득,15,15,0,100.0,0.0
멜라 성수점,15,15,0,100.0,0.0
예빈당,15,15,0,100.0,0.0
새촌식탁,15,15,0,100.0,0.0
효자동목고기,15,15,0,100.0,0.0
하노이별 서울숲점,15,15,0,100.0,0.0
아재커피 성수2가점,15,15,0,100.0,0.0
성수닭발,15,15,0,100.0,0.0
커피스미스,15,12,3,80.0,20.0
스시류블랙 성수낙낙점,14,14,0,100.0,0.0
스시현,14,14,0,100.0,0.0
어묵나라,14,13,1,92.9,7.1
웨이크앤베이크 성수,14,13,1,92.9,7.1
타이거풀,14,13,1,92.9,7.1
스탠드업플리즈바이턴온,14,13,1,92.9,7.1
코코호도 성수점,14,14,0,100.0,0.0
소시맥분,14,12,2,85.7,14.3
아오미,14,12,2,85.7,14.3
왕십리정곱창 성수점,14,14,0,100.0,0.0
호미담,14,14,0,100.0,0.0
카페조이,14,13,1,92.9,7.1
샵아지트,14,14,0,100.0,0.0
수향,14,14,0,100.0,0.0
피읻짜,14,14,0,100.0,0.0
반상회 성수,14,12,2,85.7,14.3
노랑통닭 성수점,14,13,1,92.9,7.1
오아오아,14,14,0,100.0,0.0
노을 2관,14,13,1,92.9,7.1
오부대찌개,14,14,0,100.0,0.0
패티패티,14,14,0,100.0,0.0
성수리얼,14,14,0,100.0,0.0
노을 1관,14,13,1,92.9,7.1
쉐프우,14,14,0,100.0,0.0
제일 참 순대국,14,14,0,100.0,0.0
그라데이션커피,14,14,0,100.0,0.0
뚝배기양평해장국 성수점,14,14,0,100.0,0.0
또와,14,14,0,100.0,0.0
묘사서울,14,13,1,92.9,7.1
후라이드참잘하는집 성수점,14,14,0,100.0,0.0
범바,14,14,0,100.0,0.0
숲떡,14,12,2,85.7,14.3
텐바,14,13,1,92.9,7.1
한냄비,13,12,1,92.3,7.7
굴림,13,13,0,100.0,0.0
승리원,13,13,0,100.0,0.0
퓨엘커피,13,13,0,100.0,0.0
푸라닭 성수1가점,13,13,0,100.0,0.0
달구벌반점,13,12,1,92.3,7.7
오프커피,13,13,0,100.0,0.0
다로베,13,13,0,100.0,0.0
플래닝샐러드,13,11,2,84.6,15.4
에보,13,13,0,100.0,0.0
댓길,13,12,1,92.3,7.7
파인와플,13,13,0,100.0,0.0
덕,13,12,1,92.3,7.7
칠칠칠,13,13,0,100.0,0.0
커피식구 성수센터,13,13,0,100.0,0.0
오카보카,13,13,0,100.0,0.0
미도림,13,12,1,92.3,7.7
쭈전부리,13,13,0,100.0,0.0
이월로스터스 성수점,13,12,1,92.3,7.7
스프레이,13,13,0,100.0,0.0
커피온리 뚝섬역점,13,13,0,100.0,0.0
행복한식당,13,13,0,100.0,0.0
쑤쑤타이,13,12,1,92.3,7.7
걸작떡볶이치킨 성수점,13,13,0,100.0,0.0
다모아뷔페,13,13,0,100.0,0.0
피자헛 성수점,13,13,0,100.0,0.0
담소소사골순대육개장 성수시그마밸리점,13,11,2,84.6,15.4
눈꽃돼지,13,13,0,100.0,0.0
옛골감자탕,12,12,0,100.0,0.0
성수차이나,12,11,1,91.7,8.3
찐짜솥뚜껑삼겹살갈비,12,12,0,100.0,0.0
더리터 성수역점,12,11,1,91.7,8.3
서울에스프레소,12,11,1,91.7,8.3
코트사이드,12,12,0,100.0,0.0
루덴스파트너스,12,10,2,83.3,16.7
위풍당당족발,12,12,0,100.0,0.0
레드이즈미,12,12,0,100.0,0.0
햄찌와베찌,12,12,0,100.0,0.0
돈앤돈 성수점,12,8,4,66.7,33.3
왕돈까스&왕냉면 뚝섬점,12,10,2,83.3,16.7
예바다,12,12,0,100.0,0.0
홍낭자와김도령 성수낙낙점,12,12,0,100.0,0.0
오발탄 서울숲점,12,12,0,100.0,0.0
업사이드커피 연무장점,12,12,0,100.0,0.0
피자스쿨 성수쇼핑센타점,12,12,0,100.0,0.0
성수동 간판없는집,12,11,1,91.7,8.3
칠성옻닭,12,11,1,91.7,8.3
한끼밥집,12,11,1,91.7,8.3
왕짜장,12,12,0,100.0,0.0
또치 참숯생고기,12,12,0,100.0,0.0
안뜰 생선구이동태대구탕 뚝섬역점,12,12,0,100.0,0.0
구스케이지,12,12,0,100.0,0.0
곡성,12,12,0,100.0,0.0
뚝섬해물탕,12,10,2,83.3,16.7
엘몰리노,12,11,1,91.7,8.3
피자스쿨 뚝섬역점,12,11,1,91.7,8.3
늘봄숯불갈비,12,11,1,91.7,8.3
성수일구,12,11,1,91.7,8.3
햄찌와베찌 뚝섬점,12,12,0,100.0,0.0
화로양미,12,12,0,100.0,0.0
사흘카레,12,12,0,100.0,0.0
킴스치킨,12,11,1,91.7,8.3
소문난성수감자탕,12,10,2,83.3,16.7
성운,11,11,0,100.0,0.0
카페온화 본사,11,11,0,100.0,0.0
장수숯불갈비,11,10,1,90.9,9.1
이우 다이닝,11,11,0,100.0,0.0
더벤티 성수아이에스점,11,11,0,100.0,0.0
보난자 베이커리,11,11,0,100.0,0.0
하노이바게트,11,10,1,90.9,9.1
우디집,11,11,0,100.0,0.0
가장맛있는족발 뚝섬역점,11,9,2,81.8,18.2
마이쥬스 성수낙낙점,11,11,0,100.0,0.0
피리어드,11,11,0,100.0,0.0
토마토김밥 뚝섬역점,11,11,0,100.0,0.0
란칼국수,11,11,0,100.0,0.0
성수칼국수,11,11,0,100.0,0.0
레스카페,11,11,0,100.0,0.0
용짜장,11,11,0,100.0,0.0
한서칼국수,11,11,0,100.0,0.0
착한족발 성수점,11,10,1,90.9,9.1
은식당,11,10,1,90.9,9.1
밀향기,11,11,0,100.0,0.0
희정보감족,11,11,0,100.0,0.0
우콘카레,11,10,1,90.9,9.1
마이올드포스터,11,11,0,100.0,0.0
B1 KITCHEN,11,11,0,100.0,0.0
