상가업소번호,가게명,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
MA010120220812161279,메가MGC커피 창천점,149,145,4,97.3,2.7
MA010120220803188921,소바연구소,123,118,5,95.9,4.1
MA010120220812266399,천궁전마라탕,113,113,0,100.0,0.0
MA010120220814279612,기꾸스시,105,103,2,98.1,1.9
MA010120220800625157,잠바주스 연세세브란스점,104,102,2,98.1,1.9
MA010120220812242194,포가레 신촌점,103,103,0,100.0,0.0
MA010120220809408624,독립문설렁탕,102,94,8,92.2,7.8
MA010120220812303375,유소바,101,101,0,100.0,0.0
MA010120220806987328,싸다김밥 신촌점,100,98,2,98.0,2.0
MA010120220802691019,타코벨 신촌점,98,91,7,92.9,7.1
MA0101202211A0011669,역전우동0410 신촌점,97,95,2,97.9,2.1
3311,김진환 제과점,95,92,3,96.8,3.2
MA010120220814145908,마더린러 베이글,93,92,1,98.9,1.1
MA010120220806851648,플라페,91,91,0,100.0,0.0
MA010120220800590701,이삭토스트 서울신촌점,90,89,1,98.9,1.1
3318,탈리,89,85,4,95.5,4.5
MA010120220814302419,빽다방 신촌역점,85,77,8,90.6,9.4
MA010120220807432876,사장님돈까스 이화여대점,85,84,1,98.8,1.2
MA010120220809791149,투썸플레이스 이대역점,84,84,0,100.0,0.0
MA0101202210A0088461,매머드익스프레스 신촌점,79,77,2,97.5,2.5
MA010120220800626353,형제갈비,77,75,2,97.4,2.6
MA010120220814083848,쥬씨 신촌점,77,75,2,97.4,2.6
MA010120220807413424,영미김밥,75,72,3,96.0,4.0
MA010120220810113017,연세로갈매기,75,75,0,100.0,0.0
MA010120220811793802,맘스터치 이대점,72,70,2,97.2,2.8
MA010120220802929059,지니네컵밥,72,72,0,100.0,0.0
MA010120220814048829,포베이 연세암병원점,71,69,2,97.2,2.8
MA010120220812815107,파리바게뜨 카페이대역점,67,65,2,97.0,3.0
MA010120220800600549,이디야커피 신촌역점,66,61,5,92.4,7.6
MA010120220800626412,고르드,65,62,3,95.4,4.6
MA010120220805206695,코쿤캅,64,64,0,100.0,0.0
MA010120220807064192,롯데리아 이대점,64,63,1,98.4,1.6
MA010120220809818533,현명식탁,63,62,1,98.4,1.6
MA010120220805511562,팔공티 이대점,62,60,2,96.8,3.2
MA010120220811824024,롤링파스타 신촌점,61,59,2,96.7,3.3
3332,미분당 홍대점,60,60,0,100.0,0.0
MA010120220811968247,브릭스5221맥주 신촌점,60,60,0,100.0,0.0
MA010120220805056183,더블랙나인,59,59,0,100.0,0.0
MA010120220806681307,연희김밥 신촌점,59,59,0,100.0,0.0
MA010120220812939901,역전할머니맥주 신촌점,59,55,4,93.2,6.8
MA010120220800625120,부탄츄 신촌점,58,54,4,93.1,6.9
MA010120220804615661,백년당 마라탕 본점,58,58,0,100.0,0.0
3305,또보겠지떡볶이집 신촌히어로점,57,53,4,93.0,7.0
MA010120220803061103,컴포즈커피 신촌연세대점,55,55,0,100.0,0.0
MA010120220806523856,할리스 이대점,54,49,5,90.7,9.3
MA010120220814207268,타오마라탕 신촌점,53,50,3,94.3,5.7
MA010120220809620673,보승회관 서울신촌점,53,42,11,79.2,20.8
MA010120220800665082,난향,52,51,1,98.1,1.9
MA010120220807014750,독수리다방,51,50,1,98.0,2.0
MA010120220811982063,고스트요거트 이대점,51,50,1,98.0,2.0
MA010120220800632499,고향전주비빔밥 현대백화점신촌점,50,49,1,98.0,2.0
MA010120220800603549,소신이쏘 신촌본점,49,46,3,93.9,6.1
MA010120220805468753,모미지식당,49,47,2,95.9,4.1
MA010120220808035101,버거리 신촌점,49,47,2,95.9,4.1
MA010120220800624817,닥터로빈 이대점,47,43,4,91.5,8.5
MA010120220802502144,배스킨라빈스 이대역,47,46,1,97.9,2.1
MA010120220812501200,샐러디 이화여대점,47,46,1,97.9,2.1
MA010120220812685290,팔공티 신촌점,47,45,2,95.7,4.3
MA010120220805371852,매머드익스프레스 이대점,46,46,0,100.0,0.0
MA010120220805648394,라구식당,45,45,0,100.0,0.0
MA010120220806624362,본우리반상 신촌세브란스점,44,44,0,100.0,0.0
3322,렌게,43,43,0,100.0,0.0
MA010120220802691073,엠브로돈까스 신촌본점,43,42,1,97.7,2.3
MA010120220800593680,돈우마미,43,42,1,97.7,2.3
MA010120220800580738,아마,43,43,0,100.0,0.0
MA010120220800558047,신촌고기창고,42,40,2,95.2,4.8
MA010120220800581023,삭 수제튀김 전문점,42,42,0,100.0,0.0
MA010120220808826529,돈까스대왕전 이대점,42,38,4,90.5,9.5
MA010120220812024024,비아37,42,39,3,92.9,7.1
MA010120220800567138,춘천집 닭갈비막국수,41,38,3,92.7,7.3
MA010120220800599837,복성각,40,38,2,95.0,5.0
MA010120220808037913,주막보리밥,40,40,0,100.0,0.0
MA010120220805836229,오늘통닭 신촌직영점,39,37,2,94.9,5.1
MA010120220812692974,본죽 세브란스병원점,39,38,1,97.4,2.6
MA010120220811706692,굿바이슈가베어 포케&샐러드,39,39,0,100.0,0.0
MA010120220811657813,인타코타코야끼&캔카페,38,36,2,94.7,5.3
MA010120220800594374,대성이네,38,38,0,100.0,0.0
MA010120220800557729,카페나무,38,31,7,81.6,18.4
MA010120220804171594,waffle it up,37,37,0,100.0,0.0
MA010120220813385141,클로리스 신촌본점,37,35,2,94.6,5.4
MA010120220800600409,아마스빈 이대점,37,37,0,100.0,0.0
MA010120220814278735,전티마이베트남쌀국수 이화여대점,37,36,1,97.3,2.7
MA010120220805346423,란주탕슉,36,36,0,100.0,0.0
MA010120220801524284,씨유그릭,36,36,0,100.0,0.0
MA010120220814190705,방콕익스프레스 신촌본점,35,33,2,94.3,5.7
3340,혼신꼬치,35,30,5,85.7,14.3
MA010120220800578917,무사시,35,35,0,100.0,0.0
MA010120220808135929,마녀주방 신촌점,35,35,0,100.0,0.0
MA010120220800558973,구이마을,34,30,4,88.2,11.8
MA010120220800570371,티앙팡 오후의 홍차,34,34,0,100.0,0.0
MA010120220812201759,금별맥주 신촌점,34,33,1,97.1,2.9
MA010120220805334818,식탁 하늬솔점,34,33,1,97.1,2.9
MA010120220802965641,엔타로커피,33,33,0,100.0,0.0
3330,철길왕갈비살,33,28,5,84.8,15.2
MA010120220812984210,볼타,33,33,0,100.0,0.0
MA010120220804843709,공차 이대역점,33,33,0,100.0,0.0
3300,김광석신촌칼국수 본점,33,32,1,97.0,3.0
MA010120220808574231,쥬씨 이대점,32,30,2,93.8,6.2
MA010120220808431265,춘천집닭갈비본사직영철판구이,32,30,2,93.8,6.2
MA010120220800213478,리히트,32,31,1,96.9,3.1
MA010120220804969002,신룽푸마라탕 이대점,32,31,1,96.9,3.1
MA010120220809655412,미도인 신촌,32,29,3,90.6,9.4
MA010120220812705871,양꽃 오마카세 신촌점,32,32,0,100.0,0.0
MA010120220800589488,구씨네부엌,31,31,0,100.0,0.0
MA010120220803930832,머노까머나 신촌점,31,30,1,96.8,3.2
MA010120220800556453,맛있는순두부&김치찜,31,28,3,90.3,9.7
MA010120220800956204,클럽이스케이프,30,30,0,100.0,0.0
MA010120220803058643,자마버거 이대점,30,29,1,96.7,3.3
MA010120220811724523,공차 이대익스프레스점,30,30,0,100.0,0.0
3337,빅타이니,29,29,0,100.0,0.0
3333,산울림1992,28,26,2,92.9,7.1
MA010120220800596371,고삼이 신촌점,28,26,2,92.9,7.1
MA010120220804429836,지지고 이대점,28,28,0,100.0,0.0
MA010120220808118352,파스쿠찌 연세우리라운지점,28,28,0,100.0,0.0
MA010120220800595698,여우골초밥 신촌점,28,28,0,100.0,0.0
MA010120220800624887,던킨 연세안과병원점,27,27,0,100.0,0.0
MA010120220807773009,피슈마라홍탕 신촌점,27,25,2,92.6,7.4
MA010120220801785130,명륜진사갈비 서울신촌점,27,26,1,96.3,3.7
MA010120220800757075,이디야커피 이화여대점,27,26,1,96.3,3.7
MA010120220800600419,가화만사성,27,22,5,81.5,18.5
MA010120220805052425,군자대한곱창 신촌점,27,27,0,100.0,0.0
MA010120220812618294,라티노커피 이대점,27,27,0,100.0,0.0
3324,더브레드블루 신촌본점,27,26,1,96.3,3.7
3331,루나틱커피,26,26,0,100.0,0.0
MA010120220800209304,도토리칼국수,26,25,1,96.2,3.8
3320,공릉닭한마리,26,26,0,100.0,0.0
MA010120220812333801,타코로코,26,24,2,92.3,7.7
MA010120220806864404,카페봄봄 이화여대점,26,25,1,96.2,3.8
MA010120220809816041,스시가마시 이대점,26,26,0,100.0,0.0
MA010120220813190034,고피자 신촌1호점,26,25,1,96.2,3.8
MA010120220800583195,던킨 연대동문회관점,25,25,0,100.0,0.0
MA010120220812974480,호탕마라탕,25,25,0,100.0,0.0
MA010120220814051509,교촌치킨 신촌점,25,22,3,88.0,12.0
MA010120220800625129,팔색콩불,25,25,0,100.0,0.0
MA010120220805031161,청춘대로,25,24,1,96.0,4.0
MA010120220812988264,헤이진,25,25,0,100.0,0.0
MA010120220800595998,설레임삼겹살,24,23,1,95.8,4.2
MA010120220806996315,원즈오운,24,23,1,95.8,4.2
