상가업소번호,가게명,리뷰,evaluation
MA010120220813677380,고래파스타,분위기 좋아용,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,ㅇㅅㅇ,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,라자냐까지 먹었는데 너무 맛있었어욤!!,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,가성비 괜찮아요 뇨끼랑 라자냐 먹었는데 라자냐가 맛있었어요,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,친구 추천으로 가봤어요. 감자 뇨끼 맛있어요!!,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,뇨끼 👍 👍,(긍정 확률 : 0.93) 긍정
MA010120220813677380,고래파스타,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220813677380,고래파스타,뇨끼 맛있었어요 크리미하고 진해서 자꾸 생각나는 맛이네요,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,맛있습니당,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,먹고나면 든든한 몇 안되는 곱창집~ 여러 부위가 다 있어서 좋아요. 특히 제일 좋아하는 양구이 안 파는 곳도 있는데 여긴 있어요. 파김치도 맛있고 사장님도 친절하셔서 단골입니다♡,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,신촌 곱창중 최고에요,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,5년째 꾸준히 찾는 단골집이에옹ㅠ 쫄깃하고 곱많은 한우곱창이라 자주 찾아욥!!!,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,곱창 너무 좋아해서 인터넷으로 찾다가 간 맛집입니다! 곱창이 곱도 가득하고 엄청 고소해요 ㅎㅎㅎ 세트 메뉴가 구성이 좋고 가성비가 좋아요 ㅎㅎㅎ 볶음밥까지 필수죠!💖,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,조아요  천엽 간 안줘서 아쉬워요,(긍정 확률 : 0.54) 긍정
MA010120220800575509,불타는곱창 신촌점,진짜 소곱창은 무조건 불타는 곱창! 여기만큼 맛있는 곳 못 본거 같아요. 진짜 곱창은 불타는곱창!곱창 땡기면 여기부터 찾아요.,(긍정 확률 : 0.97) 긍정
MA010120220800575509,불타는곱창 신촌점,맛잇어요!!! 분위기도 좋아요!! 사장님 두분 다 너무 친절하셔용👍🏻,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,대구에서 왔는데 너무 맛있네요 ㅎㅎ 배 불리 먹고 가용 ㅎㅎ 이모 너무 친절하고 완전 미인 ㅎㅎ^^,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,신촌곱창집은 여기만옵니다!! 다른곳을가봐도 만족할수없었는데 역시.. 오랜만에와도 여전히 맛있습니다!!,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,맛탱맛탱 존맛탱 입니다 신촌에선 여기밖에 안와요 사장님도 친절하고 곱창도 맛있어요ㅠㅠ신촌 자주오고 곱창좋아하시는분들은 여기 무조건 아실겁니다!!!슴살부터 벌써 9년째 단골ㅋㅋㅋㅋ잘먹었습니다🥹💓,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,20살때부터 8년째 단골입니다! 정말 맛있고 친절하세요 추천 드립니다!!!,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,자주먹으러가는집!  사장님도 너무친절하시고 좋으심 :) 곱창도 다구워주시고 볶음밥도 볶아주심! 볶음밥에 날치알 추가는 필수.. 여기 볶음밥 내생에 젤맛있는 볶음밥 손에꼽을정도 맛있어요 >_<,(긍정 확률 : 0.98) 긍정
MA010120220800575509,불타는곱창 신촌점,신촌에 곱창하면 여기죵 곱창 먹고싶으면 고민도 안 하고 옵니다 ㅋㅋ 술 술술 들어가고.. 볶음밥은 꼭 먹어야함😦😦😦,(긍정 확률 : 0.97) 긍정
