상가업소번호,가게명,리뷰,evaluation
MA010120220805435729,몽중헌 안국점,딤섬 맛있어요,(긍정 확률 : 0.97) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 맛있어용,(긍정 확률 : 0.96) 긍정
MA010120220805435729,몽중헌 안국점,서비스가 좋아요 짬뽕 하나 시켜도 그릇 나눠서 주시고 딤섬도 나눠서 나오는 점에서 매우 만족 하지만 가격은 비싸다,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,"음식은 맛있었습니다만, 아무리 오픈전에 왔다고 해도 직원 서비스가 불쾌했습니다. 마스크를 쓰지 않은 채 음식물을 쩝쩝거리면서 응대하는게... 맞는건가 싶네요.",(긍정 확률 : 0.96) 긍정
MA010120220805435729,몽중헌 안국점,"⭐️⭐️⭐️⭐️⭐️  한우소고기 짜장면! 맛있습니다 강추~~*^^*  __________________ [참고] 본인의 리뷰기준 :  1. 맛, 친절, 청결 세가지 중 한 가지라도 부족하다 느끼면, 맛없네 불친절하네 드럽네 등의 평가없이 그냥 리뷰 안 올림. (왜냐하면 그날 그순간 잠깐 그랬을 수도 있으니까) 2. 맛집찾아 먹으러 다니는걸 좋아하는 아재로서 너무 달거나 짜거나 맵거나 싱겁거나 조미료 범벅이거나 건강만 추구하는 맛은 그닥 안 좋아하는 입맛을 기준으로 리뷰했음",(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛있오요!!,(긍정 확률 : 0.97) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,"오늘 가족들과 함께 경복궁 야경을 보기 위해 삼청동으로 향했다. 사랑하는 아들이 저녁을 사겠다는 말에 더 가벼운 발걸음으로 흥이 더해졌다. 몽중헌이라는 중식당에 가게 되었는데 딤섬, 한우일품짜장면, 잡탕밥, 홍콩식볶음국수로 메뉴를 선택했다. 아들한테 받는 식사라 그런지 맛은 소소하지만 깔끔하고 정갈한게 더 마음이 좋다. 오랫만에 아이들과 함께 하는 시간이라 기대가 만땅이다. 야경에 비친 아이들의 한복입은 모습, 이게 행복이지 않을까.",(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,맛있었구 예약하고가면 응대가 더 빨라서 편하게 이용했습니다. 메뉴 겹치지않게 추천도해주셔서 더 즐거운 식사였어요!,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,좋아요,(긍정 확률 : 0.95) 긍정
MA010120220805435729,몽중헌 안국점,"추석전에 부모님 모시고 딤섬코스  예약하고 도착시간전에 좀 늦을꺼 같아 예약 링크로 메뉴공부하고 주문할랬더니 예약링크의 메뉴랑 지점 메뉴 내용 가격이 달라서 호기롭게 런치 코스 B했더니 링크주소는 7만원 지점 메뉴는 내용도 다르고 115,000원. 네명이 갔으니 거의 이십만윈오버할뻔.  도착시간 늦을까봐 미리 주문하려고 그랬던건데 링크에 나온 메뉴가 달라서 좀 혼란스랍다 했더니 지점 홈페이지 메뉴를 보면 된다며 미안하다는 말도 없이 싸늘히 대답. 그리 바빠보이는것도 아닌데 말한마디가 그리 어렵나요? 딤섬은 맛있었는데 직원들 말서비스 신경좀 써주시죠. 그리고 링크의 지점별 메뉴는 다릅니다. 런치코스 마다 가격이 인당 사만원까지 차이나요.",(긍정 확률 : 0.59) 긍정
MA010120220805435729,몽중헌 안국점,어떤 특별한 맛이라기보다는 무난한 맛입니다. 코스요리 나오는 속도가 썩 마음에 들지는 않았지만.. 괜찮았습니다. 직원분들의 서비스가 딱히 좋다고 느껴지지는 않았습니다..,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,좋아요,(긍정 확률 : 0.95) 긍정
MA010120220805435729,몽중헌 안국점,"국제갤러리에서 가깝고 평이 좋은 곳이라 방문했어요. 상하이 소롱포, 마파가지, 새우흰자볶음밥, 한우일품짜장면 주문했고 조합이 괜찮아 맛있게 먹었습니다. 느끼하거나 자극적이지 않은 담백한 스타일의 중식입니다. 오렌지에이드는 직접 짜서 만드는데 역시 많이 달지않아 식사시 마시기 좋았어요. 매장분위기는 차분하고 상차림이 정갈했습니다. 기본찬이 인당으로 세팅되는 점과 따뜻하게 유지되는 차도 좋았어요. 개인적으로 앞치마가 없어 디너 냅킨을 써야하는 면은 조금 아쉬웠습니다.하지만 그외 샤오롱바오를 알아서 인원수대로 나눠 서빙해주시고 식사류를 나눌 보울을 제공해주시고 빈그릇을 바로바로 치워주시는 등 서버분의 서비스는 만족스러웠네요.",(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,좋아요,(긍정 확률 : 0.95) 긍정
MA010120220805435729,몽중헌 안국점,좋아요,(긍정 확률 : 0.95) 긍정
MA010120220805435729,몽중헌 안국점,가족식사좋아요.,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,딤섬이 맛있는 곳이예요,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,음식은 맛있어요  단  예약을 하고 갔는데 작은 룸에 테이블3개 놓고 모르는 사람들과 그 작은 방에서 옆테이블 신경쓰여서 맘편하게 대화하겠어요? 미리 그런방이라고 말을 안해줘서 황당했음 . 이야기해서 자리 옮기긴 했지만,(긍정 확률 : 0.96) 긍정
MA010120220805435729,몽중헌 안국점,비싸서 특별한날 먹으러와요 딤섬은 맛있어요  작은룸 안내받고 조금후 옆테블 들어와서 맘껏 대화를 제대로 못했어요 그방은 답답하고 싫터이다 양해도 없고..,(부정 확률 : 0.70) 부정
MA010120220805435729,몽중헌 안국점,가족들과 식사 잘 했습니다. 공덕점 방문해보고 안국점은 처음인데 좀 더 차분한 느낌이 강했고 식사류 죽은 아쉬웠습니다! 짜장과 짬뽕이 더 맛있는것 같아요~!,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,딤섬이 넘 맛있어요. ^^,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,대체적으로 맛있었습니다. 양이 적다는 평이 있었는데 갠적으로 딱 배부르게 먹었어요 😊,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,특별한날에 갈만한 장소와 음식이에요. 이정도 가격이면 맛없기가 어렵겠지요. 주말이라 저녁이간 2부로 운영하는건...부페도 아닌데 말이죠. 암튼 화려하고 맛있는 중식 레스토랑입니다,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,◡̈,(긍정 확률 : 0.84) 긍정
MA010120220805435729,몽중헌 안국점,좋은 사람들과 딤섬 먹는 재미가 좋아요,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,"서비스너무구림 룸도너무덥고 복도,화장실은 에어컨을안트나봄",(부정 확률 : 0.97) 부정
MA010120220805435729,몽중헌 안국점,중국냉면 정말 맛나요!!!,(긍정 확률 : 0.91) 긍정
MA010120220805435729,몽중헌 안국점,상견례하기 좋은 분위기인거 같아요,(긍정 확률 : 0.93) 긍정
MA010120220805435729,몽중헌 안국점,엘리베이터가 없어서 불편했습니다  해물짬뽕 맛있게 먹었습니다,(긍정 확률 : 0.97) 긍정
MA010120220805435729,몽중헌 안국점,중식 냉면 맛있습니다,(긍정 확률 : 0.96) 긍정
MA010120220805435729,몽중헌 안국점,상견례하기 좋네요:),(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굳,(긍정 확률 : 0.87) 긍정
MA010120220805435729,몽중헌 안국점,맛있게 잘 먹었어요🥰,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,"딤섬과 삼선짬뽕을 먹었어요 하교 딤섬은 말해모해구 삼선짬뽕은 좀 맵고 아주 빨가니까요 맵찔이, 흰옷입으신 분들 조심하세욥~",(긍정 확률 : 0.80) 긍정
MA010120220805435729,몽중헌 안국점,전체적으로 음식은 깔끔하고 괜찮았어요  직원분들 친절했고 분위기도 괜찮았어요 리뷰보고 기대를 너무 많이했었는지 그기대에는 못미쳤어요  가격은 좀 비싼듯해요~^^;,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛있어요,(긍정 확률 : 0.98) 긍정
