상가업소번호,가게명,리뷰,evaluation,sentiment,persent
MA010120220813677380,고래파스타,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,친절하시고 파스타가 담백하니 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,트러플크림 감자뇨끼 정말 맛있었어요.,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,뇨끼도 맛있지만 라구도 대박,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,라자냐랑 뇨끼 너무 담백하고 맛있어요 강추합니다~~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220813677380,고래파스타,사장님은 파스타가 15000원이라 생각하시지만 저는 10000원도 충분하다고 봅니다,(긍정 확률 : 0.94) 긍정,긍정,0.94
MA010120220813677380,고래파스타,전체적으로 맛있었으나 버섯 크림 파스타가 아주 살짝 짰어요 스테이크는 맛있었습니다!,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,불타는곱창은 말이 필요없다 무조건 맛있으니까~~*^^*,(긍정 확률 : 0.95) 긍정,긍정,0.95
MA010120220800575509,불타는곱창 신촌점,굿~♥,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,네,(긍정 확률 : 0.97) 긍정,긍정,0.97
MA010120220800575509,불타는곱창 신촌점,항상 맛있게 먹는곳이에요~,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,좋아요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220800575509,불타는곱창 신촌점,친절하시고 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,맛있습니다 통닭도 닭발도 맛있어요,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,굿굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,굿,(긍정 확률 : 0.98) 긍정,긍정,0.98
MA010120220802418610,한신포차 신촌점,ㅈㅁㅌ,(긍정 확률 : 0.97) 긍정,긍정,0.97
