상가업소번호,가게명,리뷰,evaluation
MA010120220805435729,몽중헌 안국점,주차도 발렛 편리했고 음식맛은 정말 맛있었습니다! 일요일 오후7시~8시30분  식사 했는데 3층 서빙하시는 여성분의 서비스가  너무 별로였습니다… 반찬 리필 더 주실때 툭툭 던지듯이 놓으시고 많은걸 바라는건 아니지만 그분께 “맛있게 드세요”는 한번도 못 들었네요 그외 다른 서버분들은 정말 친절했습니다,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,좋아요,(긍정 확률 : 0.95) 긍정
MA010120220805435729,몽중헌 안국점,오랜만에 방문한고 같아요!! 비록 북촌이 정말이지 사람이 너무너무 많아져서 그런지 저의 최애 몽중헌도 역시나 예약이 만석이더라구요  여전히 친절하시고 음식도 여전히 맛있었습니다!!안국은 다른지점하고는 달리 아늑한분위기가 좋아서 애정이 갑니다!! 오래오래 하면 좋겠어요,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,굳,(긍정 확률 : 0.87) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 너무 맛있어요.,(긍정 확률 : 0.96) 긍정
MA010120220805435729,몽중헌 안국점,매장은 좋아보이는데 음식맛이 특별히 맛있진 않았어요,(긍정 확률 : 0.87) 긍정
MA010120220805435729,몽중헌 안국점,평일에도 꼭 예약하고 가세요.  월요일 저녁 5시 30분 오픈하자마자 갔는데 6시 20분까지 식사가능하다고 안내받고 후다닥 먹고 나왔어요. 예약 안하고 가면 식사 못하는 날도 있을 것 같아요.,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,짬뽕은 고추장의 텁텁한 맛이 강해서 실망,(부정 확률 : 0.95) 부정
MA010120220805435729,몽중헌 안국점,늘 맛있게 잘 먹고갑니다~,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,식당내 시궁창 냄새가 너무 심합니다,(부정 확률 : 0.97) 부정
MA010120220805435729,몽중헌 안국점,고급진 맛. 굿 또 가려합니다,(긍정 확률 : 0.97) 긍정
MA010120220805435729,몽중헌 안국점,.음식이 간이 맞고 딤섬이 맛있어요. .짬뽕에 국물은 깊은 맛이 안나고 해물도 너무 없어요. .방이점 봉중헌은 짬뽕에 해물이 많고 국물이 불맛 나 며 깊은 맛이 납니다.,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,양이 너무 적네요..,(부정 확률 : 0.96) 부정
MA010120220805435729,몽중헌 안국점,"1:30 입장해서 주문하고 2시 다 되서쯤 칠리새우 하나 나오더니 직원분 오셔서 2시 주방마감이니 추가주문 할꺼냐고 물어봄.  음식 나오면 양보고 하겠다니 2시 주방마감이다 같은말 반복.  심지어 옆테이블은 음식 한개도 안나왔는데 물어봐서 주문한것도 안나왔는데 무슨 추가주문이냐고 함.   결국 식사추가주문했고 전체음식 2:14분에 나옴.(사진 상세보기로 확인) 디저트도 한꺼번에 줌.   50분에 직원분 오더니 3시 브레이크타임이라길래 음식이 많이 남았는데 3시에 나가야되냐니까 그렇다고 함.   주방마감, 브레이크 타임이 중요하면 예약을 받질말던지 음식을 빨리 내어주던지 해야되는데 리뷰보니 불만 많은데 전혀 개선되어보이지않음.   기대하고 방문했는데 이 비용이 너무 아까움.",(긍정 확률 : 0.65) 긍정
MA010120220805435729,몽중헌 안국점,굿^^,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,딤섬이 맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,연성협&마늘소스 매력있네요 역시 딤섬의 킹~~  삼선짬뽕도 넘나. 깔끔한 맛~  가격대가 있는만큼 특별한날 컨텍하길 잘했어요~♡,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,★★★☆ / 북촌에 있는 맛있는 딤섬집이에요~ 샤오롱바오나 다른 딤섬류 다 맛있어요 다만 가격은 북촌이라 좀 비싸요,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,고급 중식당이네요,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,한우탕수육 진짜 맛있어요,(긍정 확률 : 0.93) 긍정
MA010120220805435729,몽중헌 안국점,분위기도 좋고 너무 맛있어요,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,주말에는 음식이 너무느리게나오지만 맛있어요,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 맛있어요,(긍정 확률 : 0.97) 긍정
MA010120220805435729,몽중헌 안국점,맛있어요,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,가족들과 맛있는 식사 했습니다 딤섬 너무 맛있어요:),(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛있어요. 재방문 의사 있습니다,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,굿,(긍정 확률 : 0.94) 긍정
MA010120220805435729,몽중헌 안국점,11:30~ 영업시작. 주말에 예약없이 갔지만 대기시간(약 40분) 아깝지않게 맛있어요,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,대화하면서 먹고 있는데 서버분이 바로 오셔서 다 드셨으면 가져간다고 하시는데 급하게 먹게 되는 것 같아요...코스로 먹었는데 딤섬은 맛있고 소고기채소볶음은 짜요 :(,(긍정 확률 : 0.99) 긍정
MA010120220805435729,몽중헌 안국점,맛있음,(긍정 확률 : 0.98) 긍정
MA010120220805435729,몽중헌 안국점,딤섬 맛집입니다,(긍정 확률 : 0.95) 긍정
MA010120220805435729,몽중헌 안국점,어버이날 기분좋은 식사했습니다^^ 역시 딤섬은 몽중헌 이예요~,(긍정 확률 : 0.99) 긍정
